,_id,title,alternativeTitles,ranking,genres,episodes,hasEpisode,hasRanking,image,link,status,synopsis,thumb,type,genre_requested
0,33,Kenpuu Denki Berserk,"['Berserk: The Chronicles of Wind Blades', 'Sword-Wind Chronicle Berserk', '剣風伝奇ベルセルク', 'Berserk', 'Berserk', 'Berserk', 'Berserk']",99,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",25,True,True,https://cdn.myanimelist.net/images/anime/1384/119988.webp,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,Finished Airing,"Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Falcon. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow.

Incapacitated and taken into the Band of the Falcon's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith.

In three years' time, Guts has become one of the Band of the Falcon's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on large groups of enemies all on his own. With Guts' immense strength and Griffith's leadership, the Band of the Falcon dominate every battle they partake in. But something menacing lurks in the shadows, threatening to change Guts' life forever.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1384/119988.webp?s=3e0c6ccd22fc94452bbed0e0a7938bac,TV,{'_id': 'Award Winning'}
1,437,Perfect Blue,"['パーフェクトブルー', 'Perfect Blue']",121,"['Avant Garde', 'Drama', 'Horror']",1,True,True,https://cdn.myanimelist.net/images/anime/1254/134212.webp,https://myanimelist.net/anime/437/Perfect_Blue,Finished Airing,"J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her.

However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1254/134212.webp?s=fcbc3c06b29e4b242770d7dd099a960d,Movie,{'_id': 'Award Winning'}
2,2246,Mononoke,"['モノノ怪', 'Mononoke']",201,"['Fantasy', 'Horror', 'Mystery', 'Supernatural']",12,True,True,https://cdn.myanimelist.net/images/anime/3/20713.webp,https://myanimelist.net/anime/2246/Mononoke,Finished Airing,"The ""Medicine Seller"" is a deadly and mysterious master of the occult who travels across feudal Japan in search of malevolent spirits called ""mononoke"" to slay. When he locates one of these spirits, he cannot simply kill it; he must first learn its Form, its Truth, and its Reason in order to wield the mighty Exorcism Sword and fight against it. He must begin  his strange exorcisms with intense psychological analysis and careful investigative work—an extremely dangerous step, as he must first confront and learn about the mononoke before he even has the means to defeat it.

The Medicine Seller's journey leads him to an old-fashioned inn where Shino, a pregnant woman, has finally found a place to rest. The owner has reluctantly placed her in the last vacant room; however, as she settles in, it quickly becomes clear that the room is infested by a lethal band of mononoke, the Zashiki Warashi. With his hunter's intuition, the Medicine Seller begins his investigation to discover the Form, the Truth, and the Reason before the Zashiki Warashi can kill again.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/3/20713.webp?s=9a1f476ee622cd1c8791de0975bab7af,TV,{'_id': 'Award Winning'}
3,777,Hellsing Ultimate,"['HELLSING OVA', 'Hellsing Ultimate']",255,"['Action', 'Horror', 'Supernatural']",10,True,True,https://cdn.myanimelist.net/images/anime/1012/143965.webp,https://myanimelist.net/anime/777/Hellsing_Ultimate,Finished Airing,"There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead.

Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil.

In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1012/143965.webp?s=e69698b52853a806e5da7525527118ad,OVA,{'_id': 'Award Winning'}
4,22535,Kiseijuu: Sei no Kakuritsu,"['Parasite', 'Parasitic Beasts', 'Parasyte', '寄生獣 セイの格率', 'Parasyte: The Maxim', 'Parasyte -the maxim-', 'Parasyte -the maxim-', 'Parasite -la maxime-']",265,"['Action', 'Horror', 'Sci-Fi']",24,True,True,https://cdn.myanimelist.net/images/anime/3/73178.webp,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,Finished Airing,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey.
 
Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/3/73178.webp?s=49431745b81085c82d86994a05f3b91c,TV,{'_id': 'Award Winning'}
5,13125,Shinsekai yori,"['Shin Sekai Yori', '新世界より', 'From the New World', 'Shinsekai Yori: From the New World', 'Shin Sekai Yori (Del Nuevo Mundo)', 'Shinsekai Yori']",343,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']",25,True,True,https://cdn.myanimelist.net/images/anime/1549/136389.webp,https://myanimelist.net/anime/13125/Shinsekai_yori,Finished Airing,"In the town of Kamisu 66, 12-year-old Saki Watanabe has just awakened to her psychic powers and is relieved to rejoin her friends—the mischievous Satoru Asahina, the shy Mamoru Itou, the cheerful Maria Akizuki, and Shun Aonuma, a mysterious boy whom Saki admires—at Sage Academy, a special school for psychics. However, unease looms as Saki begins to question the fate of those unable to awaken to their powers, and the children begin to get involved with secretive matters such as the rumored Tainted Cats said to abduct children.

Shinsekai yori tells the unique coming-of-age story of Saki and her friends as they journey to grow into their roles in the supposed utopia. Accepting these roles, however, might not come easy when faced with the dark and shocking truths of society, and the impending havoc born from the new world.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1549/136389.webp?s=e88bd98189a2fcf4a3c3aba2c47c90f4,TV,{'_id': 'Award Winning'}
6,12115,Berserk: Ougon Jidai-hen III - Kourin,"['Berserk Movie', 'Berserk Saga', 'Berserk: Golden Age Arc III - Descent', 'ベルセルク 黄金時代篇Ⅲ 降臨', 'Berserk: The Golden Age Arc III - The Advent', 'Berserk: Das goldene Zeitalter III', 'Berserk: La Edad de Oro III. El Advenimiento', ""Berserk: L'Age d'Or Partie III - L'Avent""]",386,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",1,True,True,https://cdn.myanimelist.net/images/anime/12/41305.webp,https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin,Finished Airing,"The Band of the Hawk has dwindled in the year since Guts left them on his journey to forge his own destiny. Unaware of their fate, Guts returns to the Hawks—now being led by his former ally Casca—after a rumor about them passes his way. Once the saviors of the kingdom of Midland, the Band of the Hawk are now hunted as they desperately fight for their lives while plotting to free their leader, Griffith, after he was imprisoned for committing treason. But the man they save is far from the Griffith they remember.

Griffith is a shell of his former charismatic self after a year of continuous, horrific torture. No longer able to walk, speak, or even hold a sword, he has nothing but the small, strange trinket, the Crimson Behelit, that will not leave him. The entire Band of the Hawk want to rise to greatness once more, but how much are they willing to sacrifice to return to their past glory? It doesn't seem possible, but when Griffith's heart darkens and a solar eclipse blackens the sky, the Behelit offers a choice that will leave the Band of the Hawk with a blood-soaked fate that will haunt them for the rest of their days.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/12/41305.webp?s=3e58b07a3506e5ff7fd594b53d881853,Movie,{'_id': 'Award Winning'}
7,47,Akira,"['AKIRA（アキラ）', 'Akira']",457,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural']",1,True,True,https://cdn.myanimelist.net/images/anime/1408/114012.webp,https://myanimelist.net/anime/47/Akira,Finished Airing,"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""

During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1408/114012.webp?s=aaefbf81acfde418ce5794fa28d07491,Movie,{'_id': 'Award Winning'}
8,38668,Dorohedoro,['ドロヘドロ'],614,"['Action', 'Comedy', 'Fantasy', 'Horror']",12,True,True,https://cdn.myanimelist.net/images/anime/1230/119278.webp,https://myanimelist.net/anime/38668/Dorohedoro,Finished Airing,"Hole—a dark, decrepit, and disorderly district where the strong prey on the weak and death is an ordinary occurrence—is all but befitting of the name given to it. A realm separated from law and ethics, it is a testing ground to the magic users who dominate it. As a race occupying the highest rungs of their society, the magic users think of the denizens of Hole as no more than insects. Murdered, mutilated, and made experiments without a second thought, the powerless Hole dwellers litter the halls of Hole's hospital on a daily basis.

Possessing free access to and from the cesspool, and with little challenge to their authority, the magic users appear indomitable to most—aside for a few. Kaiman, more reptile than man, is one such individual. He hunts them on a heedless quest for answers with only a trusted pair of bayonets and his immunity to magic. Cursed by his appearance and tormented by nightmares, magic users are his only clue to restoring his life to normal. With his biggest obstacle being his stomach, his female companion Nikaidou, who runs the restaurant Hungry Bug, is his greatest ally.

Set in a gritty world of hellish design, Dorohedoro manages a healthy blend of comedy and lightheartedness with death and carnage. Taking plenty of twists and turns while following the lives of Hole's residents, it weaves a unique world of unearthly origin and dreary appearance not for the squeamish or easily disturbed.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1230/119278.webp?s=944a0d1bff859a58932b127d2e5a5167,TV,{'_id': 'Award Winning'}
9,1943,Paprika,"['パプリカ', 'Paprika']",628,"['Avant Garde', 'Award Winning', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']",1,True,True,https://cdn.myanimelist.net/images/anime/1929/93629.webp,https://myanimelist.net/anime/1943/Paprika,Finished Airing,"The world of dreams can be an incredible window into the psyche, showing one's deepest desires, aspirations, and repressed memories. One hopeful tech lab has been developing the ""DC Mini,"" a device with the power to delve into the dreams of others. Atsuko Chiba and Kosaku Tokita have been tirelessly working to develop this technology with the hopes of using it to deeply explore patients' minds and help cure them of their psychological disorders.

However, having access to the deepest corners of a person's mind comes with a tremendous responsibility. In the wrong hands, the DC Mini could be used as a form of psychological terrorism and cause mental breakdowns in the minds of targets. When this technology is stolen and people around them start acting strangely, Atsuko and Kosaku know they have a serious problem on their hands. Enlisting the help of Officer Konakawa, who has been receiving this experimental therapy, they search both the real and dream worlds for their mental terrorist.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1929/93629.webp?s=336073a3c527420b19954cecc054913c,Movie,{'_id': 'Award Winning'}
10,33,Kenpuu Denki Berserk,"['Berserk: The Chronicles of Wind Blades', 'Sword-Wind Chronicle Berserk', '剣風伝奇ベルセルク', 'Berserk', 'Berserk', 'Berserk', 'Berserk']",99,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",25,True,True,https://cdn.myanimelist.net/images/anime/1384/119988.webp,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,Finished Airing,"Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Falcon. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow.

Incapacitated and taken into the Band of the Falcon's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith.

In three years' time, Guts has become one of the Band of the Falcon's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on large groups of enemies all on his own. With Guts' immense strength and Griffith's leadership, the Band of the Falcon dominate every battle they partake in. But something menacing lurks in the shadows, threatening to change Guts' life forever.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1384/119988.webp?s=3e0c6ccd22fc94452bbed0e0a7938bac,TV,{'_id': 'Suspense'}
11,437,Perfect Blue,"['パーフェクトブルー', 'Perfect Blue']",121,"['Avant Garde', 'Drama', 'Horror']",1,True,True,https://cdn.myanimelist.net/images/anime/1254/134212.webp,https://myanimelist.net/anime/437/Perfect_Blue,Finished Airing,"J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her.

However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1254/134212.webp?s=fcbc3c06b29e4b242770d7dd099a960d,Movie,{'_id': 'Suspense'}
12,2246,Mononoke,"['モノノ怪', 'Mononoke']",201,"['Fantasy', 'Horror', 'Mystery', 'Supernatural']",12,True,True,https://cdn.myanimelist.net/images/anime/3/20713.webp,https://myanimelist.net/anime/2246/Mononoke,Finished Airing,"The ""Medicine Seller"" is a deadly and mysterious master of the occult who travels across feudal Japan in search of malevolent spirits called ""mononoke"" to slay. When he locates one of these spirits, he cannot simply kill it; he must first learn its Form, its Truth, and its Reason in order to wield the mighty Exorcism Sword and fight against it. He must begin  his strange exorcisms with intense psychological analysis and careful investigative work—an extremely dangerous step, as he must first confront and learn about the mononoke before he even has the means to defeat it.

The Medicine Seller's journey leads him to an old-fashioned inn where Shino, a pregnant woman, has finally found a place to rest. The owner has reluctantly placed her in the last vacant room; however, as she settles in, it quickly becomes clear that the room is infested by a lethal band of mononoke, the Zashiki Warashi. With his hunter's intuition, the Medicine Seller begins his investigation to discover the Form, the Truth, and the Reason before the Zashiki Warashi can kill again.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/3/20713.webp?s=9a1f476ee622cd1c8791de0975bab7af,TV,{'_id': 'Suspense'}
13,777,Hellsing Ultimate,"['HELLSING OVA', 'Hellsing Ultimate']",255,"['Action', 'Horror', 'Supernatural']",10,True,True,https://cdn.myanimelist.net/images/anime/1012/143965.webp,https://myanimelist.net/anime/777/Hellsing_Ultimate,Finished Airing,"There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead.

Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil.

In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1012/143965.webp?s=e69698b52853a806e5da7525527118ad,OVA,{'_id': 'Suspense'}
14,22535,Kiseijuu: Sei no Kakuritsu,"['Parasite', 'Parasitic Beasts', 'Parasyte', '寄生獣 セイの格率', 'Parasyte: The Maxim', 'Parasyte -the maxim-', 'Parasyte -the maxim-', 'Parasite -la maxime-']",265,"['Action', 'Horror', 'Sci-Fi']",24,True,True,https://cdn.myanimelist.net/images/anime/3/73178.webp,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,Finished Airing,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey.
 
Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/3/73178.webp?s=49431745b81085c82d86994a05f3b91c,TV,{'_id': 'Suspense'}
15,13125,Shinsekai yori,"['Shin Sekai Yori', '新世界より', 'From the New World', 'Shinsekai Yori: From the New World', 'Shin Sekai Yori (Del Nuevo Mundo)', 'Shinsekai Yori']",343,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']",25,True,True,https://cdn.myanimelist.net/images/anime/1549/136389.webp,https://myanimelist.net/anime/13125/Shinsekai_yori,Finished Airing,"In the town of Kamisu 66, 12-year-old Saki Watanabe has just awakened to her psychic powers and is relieved to rejoin her friends—the mischievous Satoru Asahina, the shy Mamoru Itou, the cheerful Maria Akizuki, and Shun Aonuma, a mysterious boy whom Saki admires—at Sage Academy, a special school for psychics. However, unease looms as Saki begins to question the fate of those unable to awaken to their powers, and the children begin to get involved with secretive matters such as the rumored Tainted Cats said to abduct children.

Shinsekai yori tells the unique coming-of-age story of Saki and her friends as they journey to grow into their roles in the supposed utopia. Accepting these roles, however, might not come easy when faced with the dark and shocking truths of society, and the impending havoc born from the new world.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1549/136389.webp?s=e88bd98189a2fcf4a3c3aba2c47c90f4,TV,{'_id': 'Suspense'}
16,12115,Berserk: Ougon Jidai-hen III - Kourin,"['Berserk Movie', 'Berserk Saga', 'Berserk: Golden Age Arc III - Descent', 'ベルセルク 黄金時代篇Ⅲ 降臨', 'Berserk: The Golden Age Arc III - The Advent', 'Berserk: Das goldene Zeitalter III', 'Berserk: La Edad de Oro III. El Advenimiento', ""Berserk: L'Age d'Or Partie III - L'Avent""]",386,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",1,True,True,https://cdn.myanimelist.net/images/anime/12/41305.webp,https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin,Finished Airing,"The Band of the Hawk has dwindled in the year since Guts left them on his journey to forge his own destiny. Unaware of their fate, Guts returns to the Hawks—now being led by his former ally Casca—after a rumor about them passes his way. Once the saviors of the kingdom of Midland, the Band of the Hawk are now hunted as they desperately fight for their lives while plotting to free their leader, Griffith, after he was imprisoned for committing treason. But the man they save is far from the Griffith they remember.

Griffith is a shell of his former charismatic self after a year of continuous, horrific torture. No longer able to walk, speak, or even hold a sword, he has nothing but the small, strange trinket, the Crimson Behelit, that will not leave him. The entire Band of the Hawk want to rise to greatness once more, but how much are they willing to sacrifice to return to their past glory? It doesn't seem possible, but when Griffith's heart darkens and a solar eclipse blackens the sky, the Behelit offers a choice that will leave the Band of the Hawk with a blood-soaked fate that will haunt them for the rest of their days.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/12/41305.webp?s=3e58b07a3506e5ff7fd594b53d881853,Movie,{'_id': 'Suspense'}
17,47,Akira,"['AKIRA（アキラ）', 'Akira']",457,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural']",1,True,True,https://cdn.myanimelist.net/images/anime/1408/114012.webp,https://myanimelist.net/anime/47/Akira,Finished Airing,"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""

During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1408/114012.webp?s=aaefbf81acfde418ce5794fa28d07491,Movie,{'_id': 'Suspense'}
18,38668,Dorohedoro,['ドロヘドロ'],614,"['Action', 'Comedy', 'Fantasy', 'Horror']",12,True,True,https://cdn.myanimelist.net/images/anime/1230/119278.webp,https://myanimelist.net/anime/38668/Dorohedoro,Finished Airing,"Hole—a dark, decrepit, and disorderly district where the strong prey on the weak and death is an ordinary occurrence—is all but befitting of the name given to it. A realm separated from law and ethics, it is a testing ground to the magic users who dominate it. As a race occupying the highest rungs of their society, the magic users think of the denizens of Hole as no more than insects. Murdered, mutilated, and made experiments without a second thought, the powerless Hole dwellers litter the halls of Hole's hospital on a daily basis.

Possessing free access to and from the cesspool, and with little challenge to their authority, the magic users appear indomitable to most—aside for a few. Kaiman, more reptile than man, is one such individual. He hunts them on a heedless quest for answers with only a trusted pair of bayonets and his immunity to magic. Cursed by his appearance and tormented by nightmares, magic users are his only clue to restoring his life to normal. With his biggest obstacle being his stomach, his female companion Nikaidou, who runs the restaurant Hungry Bug, is his greatest ally.

Set in a gritty world of hellish design, Dorohedoro manages a healthy blend of comedy and lightheartedness with death and carnage. Taking plenty of twists and turns while following the lives of Hole's residents, it weaves a unique world of unearthly origin and dreary appearance not for the squeamish or easily disturbed.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1230/119278.webp?s=944a0d1bff859a58932b127d2e5a5167,TV,{'_id': 'Suspense'}
19,1943,Paprika,"['パプリカ', 'Paprika']",628,"['Avant Garde', 'Award Winning', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']",1,True,True,https://cdn.myanimelist.net/images/anime/1929/93629.webp,https://myanimelist.net/anime/1943/Paprika,Finished Airing,"The world of dreams can be an incredible window into the psyche, showing one's deepest desires, aspirations, and repressed memories. One hopeful tech lab has been developing the ""DC Mini,"" a device with the power to delve into the dreams of others. Atsuko Chiba and Kosaku Tokita have been tirelessly working to develop this technology with the hopes of using it to deeply explore patients' minds and help cure them of their psychological disorders.

However, having access to the deepest corners of a person's mind comes with a tremendous responsibility. In the wrong hands, the DC Mini could be used as a form of psychological terrorism and cause mental breakdowns in the minds of targets. When this technology is stolen and people around them start acting strangely, Atsuko and Kosaku know they have a serious problem on their hands. Enlisting the help of Officer Konakawa, who has been receiving this experimental therapy, they search both the real and dream worlds for their mental terrorist.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1929/93629.webp?s=336073a3c527420b19954cecc054913c,Movie,{'_id': 'Suspense'}
20,33,Kenpuu Denki Berserk,"['Berserk: The Chronicles of Wind Blades', 'Sword-Wind Chronicle Berserk', '剣風伝奇ベルセルク', 'Berserk', 'Berserk', 'Berserk', 'Berserk']",99,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",25,True,True,https://cdn.myanimelist.net/images/anime/1384/119988.webp,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,Finished Airing,"Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Falcon. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow.

Incapacitated and taken into the Band of the Falcon's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith.

In three years' time, Guts has become one of the Band of the Falcon's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on large groups of enemies all on his own. With Guts' immense strength and Griffith's leadership, the Band of the Falcon dominate every battle they partake in. But something menacing lurks in the shadows, threatening to change Guts' life forever.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1384/119988.webp?s=3e0c6ccd22fc94452bbed0e0a7938bac,TV,{'_id': 'Horror'}
21,437,Perfect Blue,"['パーフェクトブルー', 'Perfect Blue']",121,"['Avant Garde', 'Drama', 'Horror']",1,True,True,https://cdn.myanimelist.net/images/anime/1254/134212.webp,https://myanimelist.net/anime/437/Perfect_Blue,Finished Airing,"J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her.

However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/r/50x70/images/anime/1254/134212.webp?s=fcbc3c06b29e4b242770d7dd099a960d,Movie,{'_id': 'Horror'}
